# mx my kx ky |F_fft| Re(F_fft) Im(F_fft) F_exact
-64 -64 -3.14159 -3.14159 5.29947e-07 5.29947e-07 0 1.44716e-10
-64 -63 -3.14159 -3.09251 5.29096e-07 -5.29096e-07 0 1.78767e-10
-64 -62 -3.14159 -3.04342 5.31275e-07 5.31275e-07 0 2.20463e-10
-64 -61 -3.14159 -2.99433 5.31553e-07 -5.31553e-07 0 2.7142e-10
-64 -60 -3.14159 -2.94524 5.35292e-07 5.35292e-07 0 3.3357e-10
-64 -59 -3.14159 -2.89616 5.36503e-07 -5.36503e-07 0 4.09219e-10
-64 -58 -3.14159 -2.84707 5.42095e-07 5.42095e-07 0 5.01103e-10
-64 -57 -3.14159 -2.79798 5.44015e-07 -5.44015e-07 0 6.12466e-10
-64 -56 -3.14159 -2.74889 5.51854e-07 5.51854e-07 0 7.47139e-10
-64 -55 -3.14159 -2.69981 5.54197e-07 -5.54197e-07 0 9.0963e-10
-64 -54 -3.14159 -2.65072 5.64819e-07 5.64819e-07 0 1.10523e-09
-64 -53 -3.14159 -2.60163 5.67195e-07 -5.67195e-07 0 1.34011e-09
-64 -52 -3.14159 -2.55254 5.81334e-07 5.81334e-07 0 1.62148e-09
-64 -51 -3.14159 -2.50346 5.83197e-07 -5.83197e-07 0 1.95767e-09
-64 -50 -3.14159 -2.45437 6.01856e-07 6.01856e-07 0 2.35834e-09
-64 -49 -3.14159 -2.40528 6.02441e-07 -6.02441e-07 0 2.83456e-09
-64 -48 -3.14159 -2.35619 6.2698e-07 6.2698e-07 0 3.39905e-09
-64 -47 -3.14159 -2.30711 6.25221e-07 -6.25221e-07 0 4.06626e-09
-64 -46 -3.14159 -2.25802 6.5747e-07 6.5747e-07 0 4.85261e-09
-64 -45 -3.14159 -2.20893 6.51906e-07 -6.51906e-07 0 5.77664e-09
-64 -44 -3.14159 -2.15984 6.94296e-07 6.94296e-07 0 6.85913e-09
-64 -43 -3.14159 -2.11076 6.82961e-07 -6.82961e-07 0 8.12328e-09
-64 -42 -3.14159 -2.06167 7.3869e-07 7.3869e-07 0 9.59482e-09
-64 -41 -3.14159 -2.01258 7.18984e-07 -7.18984e-07 0 1.13021e-08
